u,v,w,hgt
0.8915706,-0.3913563,0.0008341938,1318.246
0.7518233,-0.1954178,0.0003053588,1314.612
0.5007854,-0.09222332,-0.001049142,1312.483
0.3199127,-0.09934797,-0.001267139,1313.041
0.147347,0.01470554,-0.001198978,1315.02
0.04913399,0.1142054,-0.0003120362,1315.035
0.06986342,0.2265089,-3.401471e-05,1314.358
0.08938333,0.2549442,-5.69949e-05,1316.637
0.08997251,0.3260344,0.0008637142,1318.392
0.1896597,0.3503737,0.001126989,1317.875
0.3394166,0.1649349,0.0005813035,1318.031
0.2604285,0.1833515,0.002297156,1318.936
-0.3822105,0.8390656,0.002042898,1322.114
-0.9653305,1.532518,-0.001830554,1325.782
-1.04977,1.682614,-0.001344878,1328.495
-0.8259541,1.1878,0.0001670039,1328.867
-0.5573522,0.6006904,0.001723794,1325.417
-0.4566357,0.3923729,0.0009251941,1324.846
-0.3265568,0.3002564,0.0008410925,1325.343
-0.1685825,0.2094957,0.0006812515,1321.98
-0.1317891,0.1325562,0.0001728467,1319.406
-0.1039917,0.1063241,-0.0002080919,1318.133
-0.04573049,0.1176539,0.0001799143,1316.166
-0.04645319,0.08355442,0.0005804269,1314.793
-0.04963579,0.0206245,0.0003996959,1315.139
0.05570471,-0.05829893,0.000820403,1317.268
0.07164194,-0.1538132,0.0007363971,1321.811
-0.4907622,0.06860076,-0.004517135,1329.243
-1.449538,0.7475694,-0.01199364,1336.278
-2.040548,1.350692,-0.02064577,1341.657
-2.346936,1.360139,-0.02785922,1349.384
-2.696405,1.145375,-0.0334474,1360.558
-2.855402,0.9900291,-0.03459653,1375.808
-2.723858,0.959072,-0.03008294,1397.33
-2.516575,1.00422,-0.02802353,1423.058
-2.428659,0.9968844,-0.03086525,1457.168
-2.265182,0.7732168,-0.0274181,1497.519
-2.128095,-0.07095117,-0.05434551,1534.343
-2.298911,-1.289649,-0.1609068,1599.527
-2.325191,-2.250408,-0.2911651,1709.91
-1.87362,-2.729062,-0.3128794,1801.971
-1.18395,-2.436964,-0.1774336,1827.214
-0.5336652,-1.66745,-0.1031449,1822.427
0.779248,-0.6938594,-0.3521292,1736.235
2.187276,-0.003745125,-0.481503,1544.185
2.463902,0.3115718,-0.2066882,1422.467
1.549616,1.011658,-0.01757606,1404.521
0.6360742,1.987306,-0.006638804,1401.233
0.634843,2.489033,-0.009342595,1398.86
0.81387,2.43135,-0.01240115,1397.391
0.5572315,2.235418,-0.01292882,1398.215
0.9015086,-0.5932875,-0.001882525,1314.666
0.8547609,-0.4480951,-0.00119231,1312.5
0.6936305,-0.2783191,-0.000987911,1310.974
0.4495866,-0.1928535,-0.001050911,1310.103
0.1848398,-0.02494914,-0.001429956,1310.867
0.05602025,0.00293871,-0.000384836,1311.4
0.06652471,0.04487364,5.860711e-05,1311.26
0.06459108,0.2167812,-0.0002340193,1313.671
0.07139803,0.3505238,-5.863112e-06,1315.651
0.0990214,0.358822,0.0003175614,1315.576
0.06282528,0.1930631,0.0004684623,1316.866
-0.2232302,-0.0819861,0.0002742498,1319.066
-0.7143372,-0.2954768,0.0008574285,1321.097
-1.08762,0.1574573,0.003019367,1322.725
-1.0922,0.6284629,0.003234841,1323.514
-0.8281111,0.6207071,0.002997187,1323.199
-0.5710981,0.4001826,0.001987605,1322.359
-0.4689772,0.3443736,0.001385586,1323.028
-0.3624682,0.377615,0.001098854,1322.517
-0.2725165,0.4021654,0.0005302121,1319.486
-0.2522235,0.3420223,0.0003916953,1318.106
-0.1821855,0.2561345,0.0003544851,1317.439
-0.09120835,0.1716224,0.0005001312,1314.974
-0.07032257,0.03734436,0.0006471777,1312.783
-0.08847206,-0.008060084,0.0004410004,1313.057
-0.04748375,-0.01778837,0.00086284,1315.18
-0.04781491,0.0244229,0.0002562117,1319.881
-0.682723,0.4923113,-0.003706542,1325.786
-1.614517,1.128375,-0.01144862,1329.376
-2.151608,1.420031,-0.01653242,1334.184
-2.379921,1.360994,-0.02260105,1341.132
-2.481846,1.161756,-0.03057013,1352.885
-2.510131,0.9901931,-0.03129209,1376.225
-2.445147,0.7342905,-0.02855731,1406.901
-2.30995,0.3004153,-0.03255965,1440.102
-2.179806,-0.1638434,-0.04699802,1475.499
-2.128865,-0.6054589,-0.06306507,1514.942
-2.093373,-1.095349,-0.1107608,1561.151
-2.282738,-1.51565,-0.2604091,1649.998
-2.521227,-2.155059,-0.3552173,1788.333
-2.023429,-2.801594,-0.2222911,1885.514
-0.9248731,-2.396461,-0.09676561,1894.299
0.197997,-1.310871,-0.1624303,1838.688
1.159721,-0.1877167,-0.3785007,1697.056
2.090009,0.2967839,-0.3887237,1512.41
2.19608,0.4815809,-0.1443837,1415.014
1.266436,0.9666468,-0.01225957,1400.909
0.410494,1.803536,-0.003096391,1398.994
0.4113614,2.355818,-0.004155582,1396.367
0.5886627,2.355719,-0.005442173,1393.424
0.3797415,2.178325,-0.005262433,1393.172
0.7899512,-0.6802576,-0.001083034,1311.538
0.7575644,-0.6630039,-0.0009705214,1310.817
0.6982921,-0.5150363,-0.0006636195,1309.509
0.4747127,-0.3286301,-0.0005076593,1308.005
0.1901623,-0.1054594,-0.0007250082,1308.419
0.05400753,-0.05291858,-0.0002408539,1309.282
0.08223268,0.0134113,0.0001789341,1309.269
0.0879547,0.2445836,0.0001919513,1310.624
0.0234767,0.3864229,0.0008412275,1313.15
0.02800903,0.2824459,0.001876835,1314.681
0.03548004,0.1378397,0.002791966,1315.949
-0.2231341,-0.005168747,0.003631001,1318.183
-0.6274781,-0.2172706,0.003692135,1320.281
-0.8255253,-0.01189801,0.003612877,1320.558
-0.7356639,0.2136902,0.003395101,1319.519
-0.5518366,0.2172558,0.002993244,1319.523
-0.4493826,0.2053689,0.001948743,1320.153
-0.4311202,0.2860771,0.001160618,1320.563
-0.4175375,0.4056427,0.000475177,1319.663
-0.3427458,0.4456694,0.0001153798,1317.083
-0.2637731,0.3828493,0.0001169925,1315.736
-0.2136467,0.2619806,0.000291595,1314.879
-0.1676853,0.1177437,0.000255748,1312.4
-0.1773008,0.03250024,0.0001087106,1310.961
-0.1802286,0.03467692,0.0001844277,1312.338
-0.1284503,0.0802891,0.001055923,1316.482
-0.1284512,0.1778069,0.0008710778,1321.403
-0.6834562,0.8324405,-0.002335911,1323.189
-1.606331,1.389293,-0.008827757,1324.686
-2.074651,1.409004,-0.01068654,1330.397
-1.901452,1.367735,-0.007639325,1337.07
-1.747769,1.157194,-0.0104833,1351.551
-2.061201,0.5502264,-0.02950945,1383.188
-2.392154,-0.3524007,-0.05545959,1421.909
-2.330857,-1.202206,-0.08992993,1462.607
-2.097763,-1.766074,-0.1187224,1506.938
-1.972667,-1.925379,-0.1546362,1556.701
-1.921476,-1.709228,-0.2371385,1621.905
-2.150057,-1.653063,-0.3418688,1721.404
-2.567239,-1.933821,-0.2425394,1848.517
-1.719016,-1.693794,-0.09354515,1899.62
-0.2091545,-0.9116256,-0.128218,1848.33
0.3967699,-0.282165,-0.1897387,1800.951
1.238478,-0.0232189,-0.401995,1693.868
2.21881,0.2553641,-0.4460282,1504.578
2.27185,0.5245355,-0.1605167,1401.586
1.052605,0.9557076,-0.008621694,1393.428
0.02413321,1.698598,-0.004098682,1396.046
0.03739193,2.272289,-0.004123508,1394.504
0.3051432,2.297939,-0.004459953,1391.845
0.2085013,2.158307,-0.003137422,1391.731
0.6432286,-0.7004501,-0.0002106628,1309.797
0.623257,-0.7447537,-0.0007147079,1309.411
0.6046422,-0.6854748,-0.000199927,1308.542
0.4353139,-0.4753944,-9.543276e-05,1307.684
0.2031371,-0.2143392,-0.0001738254,1308.316
0.1041398,-0.07389902,6.658225e-05,1308.968
0.129934,0.08287428,0.0002006537,1308.677
0.1131664,0.2991516,0.0008709737,1308.936
0.05115499,0.2712047,0.003411214,1310.782
0.02389515,0.1175087,0.005296314,1313.045
-0.03302416,0.02456975,0.004922964,1314.771
-0.1160427,0.02235232,0.005327857,1315.798
-0.2763113,0.06135909,0.006543476,1316.663
-0.3703334,0.07863019,0.005181561,1317.388
-0.3420851,0.04599348,0.002045217,1317.264
-0.2744476,0.03327768,0.0009179119,1317.349
-0.2862144,0.1249108,0.0008727961,1317.462
-0.4114574,0.2855634,0.0003338595,1317.251
-0.491111,0.3371967,3.800233e-05,1317.621
-0.4048195,0.2867915,-0.0001043698,1316.676
-0.3092228,0.2194243,-0.0001743261,1314.909
-0.2972439,0.1437813,-7.803093e-05,1313.687
-0.3088043,0.08344612,-0.0002893273,1312.468
-0.3015696,0.08384878,-0.0005768042,1312.589
-0.2221681,0.1001997,-2.490834e-05,1314.151
-0.03877128,0.1295702,0.001779873,1317.136
-0.0200485,0.448076,0.001697549,1320.018
-0.5496438,1.089653,-0.001579159,1321.266
-1.320604,1.45621,-0.004152776,1323.206
-1.49558,1.407321,-0.00212884,1329.548
-1.021689,1.179661,0.01288748,1340.42
-0.8954045,0.6559678,0.01337379,1360.103
-1.708265,-0.427344,-0.04320848,1392.16
-2.486988,-1.591996,-0.1192993,1441.756
-2.398074,-2.204416,-0.1925167,1503.687
-2.058908,-2.290819,-0.2379503,1565.883
-1.977554,-2.173512,-0.2983901,1649
-1.920685,-2.165788,-0.3574966,1744.384
-1.995306,-1.977242,-0.2247172,1818.168
-1.746013,-1.178052,-0.02638099,1852.066
-0.3623812,0.06990901,-0.1608751,1796.848
0.5451018,0.9745255,-0.2938386,1708.519
0.3905668,1.105,-0.2645776,1712.765
0.926019,0.8826999,-0.4527878,1670.021
2.178542,0.7746955,-0.5048318,1496.081
2.379808,0.7197652,-0.1910188,1390.404
1.045639,0.8334905,-0.006661534,1385.717
-0.2991984,1.527349,-0.003937377,1391.043
-0.3024394,2.213063,-0.00359819,1390.658
0.04878444,2.32497,-0.005034684,1388.289
0.04739129,2.287431,-0.004403063,1389.341
0.5357269,-0.6824843,-0.0004122311,1309.136
0.5342144,-0.7403751,-0.000800902,1308.3
0.5020739,-0.7172536,-0.0003362952,1308.113
0.3925881,-0.529429,1.587671e-06,1308.167
0.2638082,-0.2486771,7.058562e-05,1308.057
0.1996643,-0.03175264,0.0003244332,1308.104
0.1396415,0.1501188,0.0001551688,1308.253
0.1306484,0.1903331,0.00054542,1308.268
0.1094972,0.0504651,0.002955501,1308.896
0.00188687,0.01541971,0.005381566,1310.339
-0.0865629,0.01488078,0.005401913,1311.802
-0.0889248,0.02145496,0.004132834,1312.213
-0.08316902,0.06142167,0.004429294,1312.053
-0.08418862,0.0572887,0.006326743,1313.256
-0.1280528,-0.003045808,0.004283898,1316.103
-0.156591,-0.02508815,0.0002569635,1317.917
-0.2012736,0.07541776,-0.0007705436,1317.453
-0.3882078,0.2309994,-0.0003675301,1316.99
-0.5118425,0.240293,-0.0001746842,1318.077
-0.4718239,0.195106,-0.0001867049,1318.162
-0.3926691,0.1609731,-0.0001838564,1316.689
-0.3913813,0.1436914,-0.0002144546,1315.697
-0.3833429,0.1479318,-0.0004641123,1315.368
-0.2708462,0.149203,-0.0005755931,1315.216
-0.1135032,0.09271648,-6.23829e-05,1315.53
0.05149225,0.08907828,0.0013382,1316.448
0.07223448,0.4719447,0.002088158,1317.282
-0.2612749,1.08828,0.0007691593,1319.222
-0.7135043,1.38342,0.0004041588,1323.005
-0.6632648,1.19661,0.008492677,1331.037
-0.3178094,0.6801174,0.02383929,1347.009
-0.7737302,-0.3667735,-0.003470222,1375.407
-1.824539,-1.407881,-0.1137638,1409.01
-2.487839,-1.896782,-0.2278709,1479.464
-2.471162,-2.207083,-0.3231017,1578.191
-2.282526,-2.30526,-0.3904215,1654.032
-2.54233,-2.287748,-0.4219415,1758.88
-2.533242,-2.324556,-0.2919275,1865.4
-1.683046,-1.744878,-0.09070545,1885.136
-0.3088483,-0.2436957,-0.1573436,1814.013
0.944971,1.096491,-0.3190111,1684.524
1.232942,1.93778,-0.2470937,1591.322
0.5344018,2.252518,-0.2310302,1597.905
0.8454036,2.160222,-0.4303148,1577.675
2.079467,1.66984,-0.4108469,1461.046
2.363539,1.096495,-0.145726,1387.075
1.1308,0.6769575,-0.003736891,1383.92
-0.2996998,0.9530582,0.0001882457,1387.429
-0.4167108,1.631666,-0.0001231567,1387.563
-0.1737164,2.161645,-0.002122934,1385.418
-0.1179406,2.379859,-0.002966098,1386.723
0.4946573,-0.5804029,-0.0007149781,1307.709
0.462672,-0.6078885,-0.001335546,1306.571
0.4140655,-0.6062837,-0.0006340352,1306.717
0.3553626,-0.4618923,-9.055934e-05,1307.578
0.3168473,-0.222561,6.686932e-06,1307.442
0.2793673,-0.002139196,0.0002045093,1306.747
0.07399787,0.1204576,0.000591918,1307.532
0.01595365,-0.004164517,0.0001796322,1308.423
0.06303197,-0.06687094,0.0004229894,1308.313
-0.007267568,-0.0580576,0.00220135,1308.643
-0.07712168,-0.02239953,0.003713539,1309.183
-0.08447907,-0.01973338,0.004138909,1310.079
-0.08395126,-0.0336279,0.002629428,1311.441
-0.08217783,-0.0230916,0.003842192,1312.632
-0.09825442,-0.001460884,0.006188681,1315.639
-0.1183938,-0.00519378,0.003450536,1318.952
-0.1188373,0.02954376,0.0001738224,1319.612
-0.260225,0.1550085,-0.0002250221,1320.169
-0.4305737,0.2398404,7.847651e-05,1321.236
-0.4379486,0.2428384,0.0001940053,1320.185
-0.3928993,0.2477726,0.0002186506,1317.937
-0.3857655,0.2496784,0.000209525,1316.742
-0.279314,0.1827688,-0.00010511,1316.451
